#jei修正为jie
ajei	ajie
ariu	arou
gfiu	gfou
ekiu	ekou
rgiu	rgou
rhiu	rhou
rtiu	rtou
ryiu	ryou
rziu	rzou
aziu	azou
nfiu	nfou
emiu	emou
epiu	epou
nciu	ncou
efiu	efou
iciu	icou
vhiu	vhou
vmiu	vmou
vriu	vrou
vtiu	vtou
vyiu	vyou
gciu	gcou
ofiu	ofou
aciu	acou
ufiu	ufou
rkiu	rkou
rriu	rrou
vziu	vzou
ipiu	ipou
npiu	npou
apiu	apou
eciu	ecou
opiu	opou
asiu	asou
usiu	usou
osiu	osou
rsiu	rsou
gsiu	gsou
isiu	isou
esiu	esou
nsiu	nsou
agiu	agou
ayiu	ayou
igiu	igou
ihiu	ihou
ikiu	ikou
iziu	izou
ngiu	ngou
nhiu	nhou
nkiu	nkou
nmiu	nmou
nriu	nrou
ntiu	ntou
nyiu	nyou
gtiu	gtou
ogiu	ogou
okiu	okou
otiu	otou
oyiu	oyou
akiu	akou
atiu	atou
imiu	imou
iriu	irou
itiu	itou
nziu	nzou
griu	grou
gziu	gzou
ohiu	ohou
oriu	orou
oziu	ozou
ifiu	ifou
gkiu	gkou
gyiu	gyou
egiu	egou
ehiu	ehou
eriu	erou
etiu	etou
eyiu	eyou
eziu	ezou
ggiu	ggou
ghiu	ghou
ugiu	ugou
uhiu	uhou
ukiu	ukou
umiu	umou
utiu	utou
uyiu	uyou
uziu	uzou
omiu	omou
ahiu	ahou
gmiu	gmou
uriu	urou
uciu	ucou
amiu	amou
ariu	arou
gfiu	gfou
ekiu	ekou
rgiu	rgou
rhiu	rhou
rtiu	rtou
ryiu	ryou
rziu	rzou
aziu	azou
nfiu	nfou
emiu	emou
epiu	epou
nciu	ncou
efiu	efou
iciu	icou
vhiu	vhou
vmiu	vmou
vriu	vrou
vtiu	vtou
vyiu	vyou
gciu	gcou
ofiu	ofou
aciu	acou
ufiu	ufou
rkiu	rkou
rriu	rrou
vziu	vzou
ipiu	ipou
npiu	npou
apiu	apou
eciu	ecou
opiu	opou
hpua	houa
hpub	houb
hpuc	houc
hpud	houd
hpue	houe
hpuf	houf
hpug	houg
hpuh	houh
hpuj	houj
hpuk	houk
hpul	houl
hpum	houm
hpun	houn
hpup	houp
hpuq	houq
hpur	hour
hpus	hous
hput	hout
hpuw	houw
hpux	houx
hpuy	houy
hpuz	houz
cpuc	couc
cpud	coud
cpug	coug
cpuh	couh
cpuj	couj
cpul	coul
cpum	coum
cpuq	couq
cpus	cous
cpux	coux
cpuz	couz
dpua	doua
dpub	doub
dpuc	douc
dpud	doud
dpue	doue
dpuf	douf
dpug	doug
dpuh	douh
dpuj	douj
dpuk	douk
dpul	doul
dpum	doum
dpun	doun
dpuo	douo
dpup	doup
dpuq	douq
dpur	dour
dpus	dous
dput	dout
dpuw	douw
dpux	doux
dpuy	douy
dpuz	douz
fpud	foud
fpuj	fouj
fpul	foul
fpur	four
fpuz	fouz
gpua	goua
gpub	goub
gpuc	gouc
gpud	goud
gpue	goue
gpuf	gouf
gpug	goug
gpuh	gouh
gpuj	gouj
gpuk	gouk
gpul	goul
gpum	goum
gpun	goun
gpup	goup
gpuq	gouq
gpur	gour
gpus	gous
gput	gout
gpuw	gouw
gpux	goux
gpuy	gouy
gpuz	gouz
kpua	koua
kpub	koub
kpuc	kouc
kpud	koud
kpue	koue
kpuf	kouf
kpug	koug
kpuh	kouh
kpuj	kouj
kpuk	kouk
kpul	koul
kpum	koum
kpun	koun
kpup	koup
kpuq	kouq
kpur	kour
kpus	kous
kput	kout
kpuw	kouw
kpux	koux
kpuy	kouy
kpuz	kouz
lpub	loub
lpuc	louc
lpud	loud
lpue	loue
lpuf	louf
lpug	loug
lpuh	louh
lpuj	louj
lpuk	louk
lpul	loul
lpum	loum
lpun	loun
lpup	loup
lpuq	louq
lpur	lour
lpus	lous
lput	lout
lpuw	louw
lpux	loux
lpuy	louy
lpuz	louz
mpub	moub
mpuc	mouc
mpud	moud
mpue	moue
mpuf	mouf
mpug	moug
mpuh	mouh
mpuj	mouj
mpuk	mouk
mpul	moul
mpum	moum
mpun	moun
mpup	moup
mpuq	mouq
mpur	mour
mpus	mous
mput	mout
mpuw	mouw
mpux	moux
mpuy	mouy
mpuz	mouz
ppub	poub
ppuc	pouc
ppuf	pouf
ppuj	pouj
ppuk	pouk
ppum	poum
ppus	pous
ppux	poux
rpub	roub
rpuc	rouc
rpud	roud
rpuf	rouf
rpug	roug
rpuh	rouh
rpuj	rouj
rpuk	rouk
rpul	roul
rpum	roum
rpun	roun
rpup	roup
rpuq	rouq
rpur	rour
rpus	rous
rput	rout
rpuw	rouw
rpux	roux
rpuy	rouy
rpuz	rouz
spua	soua
spub	soub
spuc	souc
spud	soud
spuf	souf
spug	soug
spuh	souh
spuj	souj
spul	soul
spum	soum
spuq	souq
spur	sour
spus	sous
sput	sout
spuw	souw
spux	soux
spuz	souz
tpua	toua
tpub	toub
tpuc	touc
tpud	toud
tpue	toue
tpuf	touf
tpug	toug
tpuh	touh
tpuj	touj
tpuk	touk
tpul	toul
tpum	toum
tpun	toun
tpup	toup
tpuq	touq
tpur	tour
tpus	tous
tput	tout
tpuw	touw
tpux	toux
tpuy	touy
tpuz	touz
ypua	youa
ypub	youb
ypuc	youc
ypud	youd
ypue	youe
ypuf	youf
ypug	youg
ypuh	youh
ypuj	youj
ypuk	youk
ypul	youl
ypum	youm
ypun	youn
ypuo	youo
ypup	youp
ypuq	youq
ypur	your
ypus	yous
yput	yout
ypuw	youw
ypux	youx
ypuy	youy
ypuz	youz
zpua	zoua
zpub	zoub
zpuc	zouc
zpud	zoud
zpuf	zouf
zpug	zoug
zpuh	zouh
zpuj	zouj
zpuk	zouk
zpul	zoul
zpum	zoum
zpun	zoun
zpup	zoup
zpuq	zouq
zpur	zour
zpus	zous
zput	zout
zpuw	zouw
zpux	zoux
zpuy	zouy
zpuz	zouz
spup	soup
lpua	loua
rpua	roua
cpub	coub
cpuf	couf
cpur	cour
cpuy	couy
cpuw	couw
fpuw	fouw
spuk	souk
fpua	foua
fpuc	fouc
fpuf	fouf
fpug	foug
fpuh	fouh
fpuk	fouk
fpum	foum
fpux	foux
fpuy	fouy
hpuo	houo
pput	pout
fpub	foub
fpus	fous
ppud	poud
ppug	poug
ppul	poul
cpua	coua
spuy	souy
rpue	roue
mpua	moua
fpun	foun
spun	soun
npuj	nouj
ppue	poue
ppuw	pouw
tpuo	touo
zpue	zoue
hiua	houa
hiub	houb
hiuc	houc
hiud	houd
hiue	houe
hiuf	houf
hiug	houg
hiuh	houh
hiuj	houj
hiuk	houk
hiul	houl
hium	houm
hiun	houn
hiup	houp
hiuq	houq
hiur	hour
hius	hous
hiut	hout
hiuw	houw
hiux	houx
hiuy	houy
hiuz	houz
ciuc	couc
ciud	coud
ciug	coug
ciuh	couh
ciuj	couj
ciul	coul
cium	coum
ciuq	couq
cius	cous
ciux	coux
ciuz	couz
fiud	foud
fiuj	fouj
fiul	foul
fiur	four
fiuz	fouz
giua	goua
giub	goub
giuc	gouc
giud	goud
giue	goue
giuf	gouf
giug	goug
giuh	gouh
giuj	gouj
giuk	gouk
giul	goul
gium	goum
giun	goun
giup	goup
giuq	gouq
giur	gour
gius	gous
giut	gout
giuw	gouw
giux	goux
giuy	gouy
giuz	gouz
kiua	koua
kiub	koub
kiuc	kouc
kiud	koud
kiue	koue
kiuf	kouf
kiug	koug
kiuh	kouh
kiuj	kouj
kiuk	kouk
kiul	koul
kium	koum
kiun	koun
kiup	koup
kiuq	kouq
kiur	kour
kius	kous
kiut	kout
kiuw	kouw
kiux	koux
kiuy	kouy
kiuz	kouz
miub	moub
miuc	mouc
miud	moud
miue	moue
miuf	mouf
miug	moug
miuh	mouh
miuj	mouj
miuk	mouk
miul	moul
mium	moum
miun	moun
miup	moup
miuq	mouq
miur	mour
mius	mous
miut	mout
miuw	mouw
miux	moux
miuy	mouy
miuz	mouz
piub	poub
piuc	pouc
piuf	pouf
piuj	pouj
piuk	pouk
pium	poum
pius	pous
piux	poux
riub	roub
riuc	rouc
riud	roud
riuf	rouf
riug	roug
riuh	rouh
riuj	rouj
riuk	rouk
riul	roul
rium	roum
riun	roun
riup	roup
riuq	rouq
riur	rour
rius	rous
riut	rout
riuw	rouw
riux	roux
riuy	rouy
riuz	rouz
siua	soua
siub	soub
siuc	souc
siud	soud
siuf	souf
siug	soug
siuh	souh
siuj	souj
siul	soul
sium	soum
siuq	souq
siur	sour
sius	sous
siut	sout
siuw	souw
siux	soux
siuz	souz
tiua	toua
tiub	toub
tiuc	touc
tiud	toud
tiue	toue
tiuf	touf
tiug	toug
tiuh	touh
tiuj	touj
tiuk	touk
tiul	toul
tium	toum
tiun	toun
tiup	toup
tiuq	touq
tiur	tour
tius	tous
tiut	tout
tiuw	touw
tiux	toux
tiuy	touy
tiuz	touz
yiua	youa
yiub	youb
yiuc	youc
yiud	youd
yiue	youe
yiuf	youf
yiug	youg
yiuh	youh
yiuj	youj
yiuk	youk
yiul	youl
yium	youm
yiun	youn
yiuo	youo
yiup	youp
yiuq	youq
yiur	your
yius	yous
yiut	yout
yiuw	youw
yiux	youx
yiuy	youy
yiuz	youz
ziua	zoua
ziub	zoub
ziuc	zouc
ziud	zoud
ziuf	zouf
ziug	zoug
ziuh	zouh
ziuj	zouj
ziuk	zouk
ziul	zoul
zium	zoum
ziun	zoun
ziup	zoup
ziuq	zouq
ziur	zour
zius	zous
ziut	zout
ziuw	zouw
ziux	zoux
ziuy	zouy
ziuz	zouz
siup	soup
riua	roua
ciub	coub
ciuf	couf
ciur	cour
ciuy	couy
ciuw	couw
fiuw	fouw
siuk	souk
fiua	foua
fiuc	fouc
fiuf	fouf
fiug	foug
fiuh	fouh
fiuk	fouk
fium	foum
fiux	foux
fiuy	fouy
hiuo	houo
piut	pout
fiub	foub
fius	fous
piud	poud
piug	poug
piul	poul
ciua	coua
siuy	souy
riue	roue
miua	moua
fiun	foun
siun	soun
niuj	nouj
piue	poue
piuw	pouw
tiuo	touo
ziue	zoue
#egn修正为eng
hegn	heng
degn	deng
fegn	feng
megn	meng
pegn	peng
wegn	weng
zegn	zeng
kegn	keng
legn	leng
negn	neng
tegn	teng
cegn	ceng
gegn	geng
regn	reng
begn	beng
segn	seng
#emg修正为eng
hemg	heng
demg	deng
femg	feng
memg	meng
pemg	peng
wemg	weng
zemg	zeng
kemg	keng
lemg	leng
nemg	neng
temg	teng
cemg	ceng
gemg	geng
remg	reng
bemg	beng
semg	seng
#agn修正为ang
hagn	hang
fagn	fang
gagn	gang
uagn	uang
iagn	iang
kagn	kang
lagn	lang
magn	mang
sagn	sang
tagn	tang
wagn	wang
yagn	yang
bagn	bang
cagn	cang
dagn	dang
pagn	pang
zagn	zang
nagn	nang
ragn	rang
#amg修正为ang
hamg	hang
famg	fang
gamg	gang
uamg	uang
iamg	iang
kamg	kang
lamg	lang
mamg	mang
samg	sang
tamg	tang
wamg	wang
yamg	yang
bamg	bang
camg	cang
damg	dang
pamg	pang
zamg	zang
namg	nang
ramg	rang
#ogn修正为ong
dogn	dong
gogn	gong
hogn	hong
logn	long
nogn	nong
iogn	iong
oign	iong
inog	iong
oing	iong
rogn	rong
sogn	song
yogn	yong
togn	tong
zogn	zong
kogn	kong
cogn	cong
#omg修正为ong
domg	dong
gomg	gong
homg	hong
lomg	long
nomg	nong
iomg	iong
oimg	iong
romg	rong
somg	song
yomg	yong
tomg	tong
zomg	zong
komg	kong
comg	cong
#png修正为ong
dpng	dong
gpng	gong
hpng	hong
lpng	long
npng	nong
ipng	iong
rpng	rong
spng	song
ypng	yong
tpng	tong
zpng	zong
kpng	kong
cpng	cong
#pmg修正为ong
dpmg	dong
gpmg	gong
hpmg	hong
lpmg	long
npmg	nong
ipmg	iong
rpmg	rong
spmg	song
ypmg	yong
tpmg	tong
zpmg	zong
kpmg	kong
cpmg	cong
#i修正为o
ging	gong
hing	hong
ring	rong
sing	song
zing	zong
cing	cong
king	#kong
#由于上面是king英文，滞后一步处理
kinga	konga
kingb	kongb
kingc	kongc
kingd	kongd
kinge	konge
kingf	kongf
kingg	kongg
kingh	kongh
kingj	kongj
kingk	kongk
kingl	kongl
kingm	kongm
kingn	kongn
kingp	kongp
kingq	kongq
kingr	kongr
kings	kongs
kingt	kongt
kingw	kongw
kingx	kongx
kingy	kongy
kingz	kongz
#iam修正为ian
biam	bian
miam	mian
niam	nian
piam	pian
qiam	qian
diam	dian
tiam	tian
#ign修正为ing
dign	ding
bign	bing
jign	jing
lign	ling
mign	ming
nign	ning
pign	ping
qign	qing
xign	xing
yign	ying
tign	ting
#img修正为ing
dimg	ding
bimg	bing
jimg	jing
limg	ling
mimg	ming
nimg	ning
pimg	ping
qimg	qing
ximg	xing
yimg	ying
timg	ting
#o修正为i
bong	bing
jong	jing
mong	ming
pong	ping
qong	qing
xong	xing
#eu修正为ue
neu	nue
leu	lue
yeu	yue
jeu	jue
qeu	que
xeu	xue
nur	nue
#sh相关
shiea	sheia
shieb	sheib
shiec	sheic
shied	sheid
shief	sheif
shieg	sheig
shieh	sheih
shiej	sheij
shiek	sheik
shiel	sheil
shiem	sheim
shieo	sheio
shiep	sheip
shieq	sheiq
shies	sheis
shiew	sheiw
shiex	sheix
shiey	sheiy
shiez	sheiz
shiet	sheit
shiee	shier
#ch相关
cuai	chuai
#zua可能存在zu ai,只对以下纠错
zuaj	zhuaj
zuab	zhuab
zuac	zhuac
zuad	zhuad
zuae	zhuae
zuaf	zhuaf
zuag	zhuag
zuah	zhuah
zuaj	zhuaj
zuak	zhuak
zual	zhual
zuam	zhuam
zuap	zhuap
zuaq	zhuaq
zuar	zhuar
zuas	zhuas
zuat	zhuat
zuaw	zhuaw
zuax	zhuax
zuay	zhuay
zuaz	zhuaz
zuaa	zhuaa
#[zsc]j+原音修正为[zsc]h
zje	zhe
zja	zha
zji冲突	#zhi
zjo	zho
zju冲突	#zhu
cje	che
cja	cha
cji冲突	#chi
cjo	cho
cju冲突	#chu
sje	she
sja	sha
sji冲突	#shi
sjo	sho
sju冲突	#shu
#ew修正为ue横向偏移
juwb	jueb
juwd	jued
juwf	juef
juwj	juej
juwk	juek
juwl	juel
juwm	juem
juwn	juen
juwp	juep
juwq	jueq
juws	jues
juwt	juet
juww	juwe
juwx	juex
juwy	juey
juwz	juez
luwc	luec
luwd	lued
luwf	luef
luwg	lueg
luwh	lueh
luwj	luej
luwm	luem
luwq	lueq
luwr	luer
luws	lues
luwt	luet
luww	luew
luwx	luex
luwy	luey
luwz	luez
nuwc	nuec
nuwd	nued
nuwg	nueg
nuwj	nuej
nuwl	nuel
nuwm	nuem
nuwq	nueq
nuwr	nuer
nuws	nues
nuwt	nuet
nuww	nuew
nuwx	nuex
quwb	queb
quwc	quec
quwd	qued
quwf	quef
quwg	queg
quwh	queh
quwk	quek
quwq	queq
quwr	quer
quws	ques
quwt	quet
quww	quwe
quwx	quex
quwy	quey
quwz	quez
xuwa	xuea
xuwb	xueb
xuwc	xuec
xuwd	xued
xuwe	xuwe
xuwf	xuef
xuwg	xueg
xuwh	xueh
xuwj	xuej
xuwk	xuek
xuwl	xuel
xuwm	xuem
xuwn	xuen
xuwp	xuep
xuwq	xueq
xuwr	xuer
xuws	xues
xuwt	xuet
xuww	xuwe
xuwx	xuex
xuwy	xuey
xuwz	xuez
yuwb	yueb
yuwc	yuec
yuwd	yued
yuwf	yuef
yuwg	yueg
yuwh	yueh
yuwj	yuej
yuwk	yuek
yuwl	yuel
yuwm	yuem
yuwn	yuen
yuwp	yuep
yuwq	yueq
yuwr	yuwe
yuws	yues
yuwt	yuet
yuww	yuwe
yuwx	yuex
yuwy	yuey
yuwz	yuez
nuwb	nueb
nuwk	nuek
nuwy	nuey
nuwe	niwe
nuwn	nuen
nuwp	nuep
nuwz	nuez
genxin	gengxin
gegxin	gengxin
ngudo	ngduo
yingai	yinggai
#eo修正为ei横向偏移
beo	bei
feo	fei
weo	wei
teo	tei
zeo	zei
